 Copyright (C) 2011 ASIP Solutions, Inc. All rights reserved. 
6/29/21 3:15 AM : Query "search()" finished as normally.
6/29/21 3:15 AM : "Resource Declaration" finish edit.
6/29/21 3:15 AM : "Main menu" quit.
6/29/21 3:53 AM : "Main menu" start.
6/29/21 3:53 AM : Load file "ASIPmeisterStd.ini".
6/29/21 3:53 AM : Load file "browstd32.pdb".
6/29/21 3:53 AM : Query "parameter(pcu,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(alu,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(multiplier,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(divider,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(shifter,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(wire_in,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(wire_out,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(dummy_register,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(browregfile,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(index,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(clamp,synthesis)" finished as normally.
6/29/21 3:53 AM : Query "parameter(adpcm,synthesis)" finished as normally.
6/29/21 3:53 AM : "Resource Declaration" start browse.
6/29/21 3:53 AM : Query "search()" finished as normally.
6/29/21 3:53 AM : Query "search()" finished as normally.
6/29/21 3:54 AM : "Resource Declaration" finish browse.
6/29/21 3:54 AM : "Main menu" quit.
6/29/21 4:00 AM : "Main menu" start.
6/29/21 4:00 AM : Load file "ASIPmeisterStd.ini".
6/29/21 4:00 AM : Load file "browstd32.pdb".
6/29/21 4:01 AM : Query "parameter(pcu,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(alu,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(multiplier,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(divider,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(shifter,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(wire_in,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(wire_out,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(dummy_register,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(browregfile,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(index,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(clamp,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "parameter(adpcm,synthesis)" finished as normally.
6/29/21 4:01 AM : "Resource Declaration" start browse.
6/29/21 4:01 AM : "Resource Declaration" re-edit.
6/29/21 4:01 AM : Query "search()" finished as normally.
6/29/21 4:01 AM : Query "search()" finished as normally.
6/29/21 4:01 AM : Query "parameter(adpcmdecode,synthesis)" finished as normally.
6/29/21 4:01 AM : Query "function(adpcmdecode,synthesis,bit_width=4)" finished as normally.
6/29/21 4:01 AM : Query "portinfo(adpcmdecode,synthesis,bit_width=4)" finished as normally.
6/29/21 4:02 AM : Query "parameter(adpcmdecode,synthesis)" finished as normally.
6/29/21 4:02 AM : Query "parameter(adpcmdecode,synthesis)" finished as normally.
6/29/21 4:02 AM : Query "parameter(adpcmdecode2,synthesis)" finished as normally.
6/29/21 4:02 AM : Query "function(adpcmdecode2,synthesis,bit_width=4)" finished as normally.
6/29/21 4:02 AM : Query "portinfo(adpcmdecode2,synthesis,bit_width=4)" finished as normally.
6/29/21 4:02 AM : Query "parameter(adpcmdecode2,synthesis)" finished as normally.
6/29/21 4:02 AM : Query "parameter(adpcmdecode2,synthesis)" finished as normally.
6/29/21 4:03 AM : Query "function(adpcmdecode,synthesis,bit_width=4)" finished as normally.
6/29/21 4:03 AM : Query "portinfo(adpcmdecode,synthesis,bit_width=4)" finished as normally.
6/29/21 4:03 AM : Query "shape(area,adpcmdecode,synthesis,priority=area:bit_width=4)" finished as normally.
6/29/21 4:03 AM : Query "timing(delay,adpcmdecode,synthesis,priority=area:bit_width=4)" finished as normally.
6/29/21 4:03 AM : Query "power(power,adpcmdecode,synthesis,priority=area:bit_width=4)" finished as normally.
6/29/21 4:03 AM : Query "function(adpcmdecode,synthesis,bit_width=32)" finished as normally.
6/29/21 4:03 AM : Query "portinfo(adpcmdecode,synthesis,bit_width=32)" finished as normally.
6/29/21 4:03 AM : Query "shape(area,adpcmdecode,synthesis,priority=area:bit_width=32)" finished as normally.
